name,form_ict_index,photo,total_points,transfer_in,status,team,now_cost,position,team_shirt,postponed,news,news_added,transfer_in_event,transfer_out_event,selected_by_percent,points_per_game,in_dreamteam,cost_change_event
Tyler Roberts,0.0,173821.png,0,0,u,Leeds,5.0,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,Joined QPR on loan - Expected back 01 Jul,2022-07-08T11:00:04.089064Z,0,2,0.0,0.0,False,0
Diego Llorente,0.0,149915.png,14,27225,a,Leeds,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,,881,"1,564",0.4,2.3,False,0
Stuart Dallas,0.0,87873.png,0,683,i,Leeds,4.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,Leg injury - Expected back 05 Nov,2022-07-05T15:30:04.195729Z,54,73,0.0,0.0,False,0
Calvin Ramsay,0.0,489580.png,0,6799,i,Liverpool,3.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,Lack of match fitness - Expected back 16 Oct,2022-08-16T23:30:06.002110Z,651,791,0.2,0.0,False,0
Adrián San Miguel del Castillo,0.0,60706.png,0,19038,a,Liverpool,3.9,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,,,"2,870","1,830",0.7,0.0,False,-1
Rhys Williams,0.0,219937.png,0,0,u,Liverpool,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,Joined Blackpool on loan - Expected back 01 Jul,2022-07-19T23:00:04.376982Z,0,20,0.0,0.0,False,0
Josh Wilson-Esbrand,0.0,447880.png,0,56705,a,Man city,3.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,,,"4,226","4,634",0.7,0.0,False,0
Luke Shaw,0.0,106760.png,-1,12613,a,Man United,4.7,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_1-66.webp,No,,2022-09-01T23:30:07.039569Z,896,"1,415",0.4,-0.5,False,0
Harry Maguire,0.0,95658.png,-1,12250,i,Man United,4.7,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_1-66.webp,No,Hamstring injury - Unknown return date,2022-09-27T09:30:07.068011Z,512,"2,176",0.4,-0.3,False,0
Phil Jones,0.0,76359.png,0,57006,a,Man United,3.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_1-66.webp,No,,,"3,464","2,929",0.7,0.0,False,0
Ben Knight,0.0,244932.png,0,277,a,Man city,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,,,49,43,0.0,0.0,False,0
Claudio Gomes,0.0,219291.png,0,980,u,Man city,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,Transferred to Palermo,2022-09-06T08:40:49.844334Z,0,136,0.0,0.0,False,0
Rico Lewis,0.0,477064.png,2,8265,a,Man city,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,,,336,643,0.1,1.0,False,0
Scott Carson,0.0,17601.png,0,16619,a,Man city,3.9,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,,,"3,235","1,846",0.3,0.0,False,0
Kalvin Phillips,0.0,155405.png,1,5643,i,Man city,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,Shoulder injury - Expected back 26 Dec,2022-09-17T23:00:06.381859Z,130,"1,228",0.2,1.0,False,0
Stefan Ortega Moreno,0.0,88248.png,0,37421,a,Man city,3.9,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,,,"3,306","3,439",0.6,0.0,False,0
